codepoint,character,character_name
U+03ED,ϭ,COPTIC SMALL LETTER SHIMA
U+03EE,Ϯ,COPTIC CAPITAL LETTER DEI
U+03EF,ϯ,COPTIC SMALL LETTER DEI
U+03F0,ϰ,GREEK KAPPA SYMBOL
U+03F1,ϱ,GREEK RHO SYMBOL
U+03F2,ϲ,GREEK LUNATE SIGMA SYMBOL
U+03F3,ϳ,GREEK LETTER YOT
U+03F4,ϴ,GREEK CAPITAL THETA SYMBOL
U+03F5,ϵ,GREEK LUNATE EPSILON SYMBOL
U+03F6,϶,GREEK REVERSED LUNATE EPSILON SYMBOL
U+03F7,Ϸ,GREEK CAPITAL LETTER SHO
U+03F8,ϸ,GREEK SMALL LETTER SHO
U+03F9,Ϲ,GREEK CAPITAL LUNATE SIGMA SYMBOL
U+03FA,Ϻ,GREEK CAPITAL LETTER SAN
U+03FB,ϻ,GREEK SMALL LETTER SAN
U+03FC,ϼ,GREEK RHO WITH STROKE SYMBOL
U+03FD,Ͻ,GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL
U+03FE,Ͼ,GREEK CAPITAL DOTTED LUNATE SIGMA SYMBOL
U+03FF,Ͽ,GREEK CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL
U+0400,Ѐ,CYRILLIC CAPITAL LETTER IE WITH GRAVE
U+0401,Ё,CYRILLIC CAPITAL LETTER IO
U+0402,Ђ,CYRILLIC CAPITAL LETTER DJE
U+0403,Ѓ,CYRILLIC CAPITAL LETTER GJE
U+0404,Є,CYRILLIC CAPITAL LETTER UKRAINIAN IE
U+0405,Ѕ,CYRILLIC CAPITAL LETTER DZE
U+0406,І,CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
U+0407,Ї,CYRILLIC CAPITAL LETTER YI
U+0408,Ј,CYRILLIC CAPITAL LETTER JE
U+0409,Љ,CYRILLIC CAPITAL LETTER LJE
U+040A,Њ,CYRILLIC CAPITAL LETTER NJE
U+040B,Ћ,CYRILLIC CAPITAL LETTER TSHE
U+040C,Ќ,CYRILLIC CAPITAL LETTER KJE
U+040D,Ѝ,CYRILLIC CAPITAL LETTER I WITH GRAVE
U+040E,Ў,CYRILLIC CAPITAL LETTER SHORT U
U+040F,Џ,CYRILLIC CAPITAL LETTER DZHE
U+0410,А,CYRILLIC CAPITAL LETTER A
U+0411,Б,CYRILLIC CAPITAL LETTER BE
U+0412,В,CYRILLIC CAPITAL LETTER VE
U+0413,Г,CYRILLIC CAPITAL LETTER GHE
U+0414,Д,CYRILLIC CAPITAL LETTER DE
U+0415,Е,CYRILLIC CAPITAL LETTER IE
U+0416,Ж,CYRILLIC CAPITAL LETTER ZHE
U+0417,З,CYRILLIC CAPITAL LETTER ZE
U+0418,И,CYRILLIC CAPITAL LETTER I
U+0419,Й,CYRILLIC CAPITAL LETTER SHORT I
U+041A,К,CYRILLIC CAPITAL LETTER KA
U+041B,Л,CYRILLIC CAPITAL LETTER EL
U+041C,М,CYRILLIC CAPITAL LETTER EM
U+041D,Н,CYRILLIC CAPITAL LETTER EN
U+041E,О,CYRILLIC CAPITAL LETTER O
U+041F,П,CYRILLIC CAPITAL LETTER PE
U+0420,Р,CYRILLIC CAPITAL LETTER ER
U+0421,С,CYRILLIC CAPITAL LETTER ES
U+0422,Т,CYRILLIC CAPITAL LETTER TE
U+0423,У,CYRILLIC CAPITAL LETTER U
U+0424,Ф,CYRILLIC CAPITAL LETTER EF
U+0425,Х,CYRILLIC CAPITAL LETTER HA
U+0426,Ц,CYRILLIC CAPITAL LETTER TSE
U+0427,Ч,CYRILLIC CAPITAL LETTER CHE
U+0428,Ш,CYRILLIC CAPITAL LETTER SHA
U+0429,Щ,CYRILLIC CAPITAL LETTER SHCHA
U+042A,Ъ,CYRILLIC CAPITAL LETTER HARD SIGN
U+042B,Ы,CYRILLIC CAPITAL LETTER YERU
U+042C,Ь,CYRILLIC CAPITAL LETTER SOFT SIGN
U+042D,Э,CYRILLIC CAPITAL LETTER E
U+042E,Ю,CYRILLIC CAPITAL LETTER YU
U+042F,Я,CYRILLIC CAPITAL LETTER YA
U+0430,а,CYRILLIC SMALL LETTER A
U+0431,б,CYRILLIC SMALL LETTER BE
U+0432,в,CYRILLIC SMALL LETTER VE
U+0433,г,CYRILLIC SMALL LETTER GHE
U+0434,д,CYRILLIC SMALL LETTER DE
U+0435,е,CYRILLIC SMALL LETTER IE
U+0436,ж,CYRILLIC SMALL LETTER ZHE
U+0437,з,CYRILLIC SMALL LETTER ZE
U+0438,и,CYRILLIC SMALL LETTER I
U+0439,й,CYRILLIC SMALL LETTER SHORT I
U+043A,к,CYRILLIC SMALL LETTER KA
U+043B,л,CYRILLIC SMALL LETTER EL
U+043C,м,CYRILLIC SMALL LETTER EM
U+043D,н,CYRILLIC SMALL LETTER EN
U+043E,о,CYRILLIC SMALL LETTER O
U+043F,п,CYRILLIC SMALL LETTER PE
U+0440,р,CYRILLIC SMALL LETTER ER
U+0441,с,CYRILLIC SMALL LETTER ES
U+0442,т,CYRILLIC SMALL LETTER TE
U+0443,у,CYRILLIC SMALL LETTER U
U+0444,ф,CYRILLIC SMALL LETTER EF
U+0445,х,CYRILLIC SMALL LETTER HA
U+0446,ц,CYRILLIC SMALL LETTER TSE
U+0447,ч,CYRILLIC SMALL LETTER CHE
U+0448,ш,CYRILLIC SMALL LETTER SHA
U+0449,щ,CYRILLIC SMALL LETTER SHCHA
U+044A,ъ,CYRILLIC SMALL LETTER HARD SIGN
U+044B,ы,CYRILLIC SMALL LETTER YERU
U+044C,ь,CYRILLIC SMALL LETTER SOFT SIGN
U+044D,э,CYRILLIC SMALL LETTER E
U+044E,ю,CYRILLIC SMALL LETTER YU
U+044F,я,CYRILLIC SMALL LETTER YA
U+0450,ѐ,CYRILLIC SMALL LETTER IE WITH GRAVE
U+0451,ё,CYRILLIC SMALL LETTER IO
U+0452,ђ,CYRILLIC SMALL LETTER DJE
U+0453,ѓ,CYRILLIC SMALL LETTER GJE
U+0454,є,CYRILLIC SMALL LETTER UKRAINIAN IE
U+0455,ѕ,CYRILLIC SMALL LETTER DZE
U+0456,і,CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
U+0457,ї,CYRILLIC SMALL LETTER YI
U+0458,ј,CYRILLIC SMALL LETTER JE
U+0459,љ,CYRILLIC SMALL LETTER LJE
U+045A,њ,CYRILLIC SMALL LETTER NJE
U+045B,ћ,CYRILLIC SMALL LETTER TSHE
U+045C,ќ,CYRILLIC SMALL LETTER KJE
U+045D,ѝ,CYRILLIC SMALL LETTER I WITH GRAVE
U+045E,ў,CYRILLIC SMALL LETTER SHORT U
U+045F,џ,CYRILLIC SMALL LETTER DZHE
U+0460,Ѡ,CYRILLIC CAPITAL LETTER OMEGA
U+0461,ѡ,CYRILLIC SMALL LETTER OMEGA
U+0462,Ѣ,CYRILLIC CAPITAL LETTER YAT
U+0463,ѣ,CYRILLIC SMALL LETTER YAT
U+0464,Ѥ,CYRILLIC CAPITAL LETTER IOTIFIED E
U+0465,ѥ,CYRILLIC SMALL LETTER IOTIFIED E
U+0466,Ѧ,CYRILLIC CAPITAL LETTER LITTLE YUS
U+0467,ѧ,CYRILLIC SMALL LETTER LITTLE YUS
U+0468,Ѩ,CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
U+0469,ѩ,CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS
U+046A,Ѫ,CYRILLIC CAPITAL LETTER BIG YUS
U+046B,ѫ,CYRILLIC SMALL LETTER BIG YUS
U+046C,Ѭ,CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
U+046D,ѭ,CYRILLIC SMALL LETTER IOTIFIED BIG YUS
U+046E,Ѯ,CYRILLIC CAPITAL LETTER KSI
U+046F,ѯ,CYRILLIC SMALL LETTER KSI
U+0470,Ѱ,CYRILLIC CAPITAL LETTER PSI
U+0471,ѱ,CYRILLIC SMALL LETTER PSI
U+0472,Ѳ,CYRILLIC CAPITAL LETTER FITA
U+0473,ѳ,CYRILLIC SMALL LETTER FITA
U+0474,Ѵ,CYRILLIC CAPITAL LETTER IZHITSA
U+0475,ѵ,CYRILLIC SMALL LETTER IZHITSA
U+0476,Ѷ,CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
U+0477,ѷ,CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
U+0478,Ѹ,CYRILLIC CAPITAL LETTER UK
U+0479,ѹ,CYRILLIC SMALL LETTER UK
U+047A,Ѻ,CYRILLIC CAPITAL LETTER ROUND OMEGA
U+047B,ѻ,CYRILLIC SMALL LETTER ROUND OMEGA
U+047C,Ѽ,CYRILLIC CAPITAL LETTER OMEGA WITH TITLO
U+047D,ѽ,CYRILLIC SMALL LETTER OMEGA WITH TITLO
U+047E,Ѿ,CYRILLIC CAPITAL LETTER OT
U+047F,ѿ,CYRILLIC SMALL LETTER OT
U+0480,Ҁ,CYRILLIC CAPITAL LETTER KOPPA
U+0481,ҁ,CYRILLIC SMALL LETTER KOPPA
U+0482,҂,CYRILLIC THOUSANDS SIGN
U+0483,҃,COMBINING CYRILLIC TITLO
U+0484,҄,COMBINING CYRILLIC PALATALIZATION
U+0485,҅,COMBINING CYRILLIC DASIA PNEUMATA
U+0486,҆,COMBINING CYRILLIC PSILI PNEUMATA
U+0487,҇,COMBINING CYRILLIC POKRYTIE
U+0488,҈,COMBINING CYRILLIC HUNDRED THOUSANDS SIGN
U+0489,҉,COMBINING CYRILLIC MILLIONS SIGN
U+048A,Ҋ,CYRILLIC CAPITAL LETTER SHORT I WITH TAIL
U+048B,ҋ,CYRILLIC SMALL LETTER SHORT I WITH TAIL
U+048C,Ҍ,CYRILLIC CAPITAL LETTER SEMISOFT SIGN
U+048D,ҍ,CYRILLIC SMALL LETTER SEMISOFT SIGN
U+048E,Ҏ,CYRILLIC CAPITAL LETTER ER WITH TICK
U+048F,ҏ,CYRILLIC SMALL LETTER ER WITH TICK
U+0490,Ґ,CYRILLIC CAPITAL LETTER GHE WITH UPTURN
U+0491,ґ,CYRILLIC SMALL LETTER GHE WITH UPTURN
U+0492,Ғ,CYRILLIC CAPITAL LETTER GHE WITH STROKE
U+0493,ғ,CYRILLIC SMALL LETTER GHE WITH STROKE
U+0494,Ҕ,CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK
U+0495,ҕ,CYRILLIC SMALL LETTER GHE WITH MIDDLE HOOK
U+0496,Җ,CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
U+0497,җ,CYRILLIC SMALL LETTER ZHE WITH DESCENDER
U+0498,Ҙ,CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
U+0499,ҙ,CYRILLIC SMALL LETTER ZE WITH DESCENDER
U+049A,Қ,CYRILLIC CAPITAL LETTER KA WITH DESCENDER
U+049B,қ,CYRILLIC SMALL LETTER KA WITH DESCENDER
U+049C,Ҝ,CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE
U+049D,ҝ,CYRILLIC SMALL LETTER KA WITH VERTICAL STROKE
U+049E,Ҟ,CYRILLIC CAPITAL LETTER KA WITH STROKE
U+049F,ҟ,CYRILLIC SMALL LETTER KA WITH STROKE
U+04A0,Ҡ,CYRILLIC CAPITAL LETTER BASHKIR KA
U+04A1,ҡ,CYRILLIC SMALL LETTER BASHKIR KA
U+04A2,Ң,CYRILLIC CAPITAL LETTER EN WITH DESCENDER
U+04A3,ң,CYRILLIC SMALL LETTER EN WITH DESCENDER
U+04A4,Ҥ,CYRILLIC CAPITAL LIGATURE EN GHE
U+04A5,ҥ,CYRILLIC SMALL LIGATURE EN GHE
U+04A6,Ҧ,CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK
U+04A7,ҧ,CYRILLIC SMALL LETTER PE WITH MIDDLE HOOK
U+04A8,Ҩ,CYRILLIC CAPITAL LETTER ABKHASIAN HA
U+04A9,ҩ,CYRILLIC SMALL LETTER ABKHASIAN HA
U+04AA,Ҫ,CYRILLIC CAPITAL LETTER ES WITH DESCENDER
U+04AB,ҫ,CYRILLIC SMALL LETTER ES WITH DESCENDER
U+04AC,Ҭ,CYRILLIC CAPITAL LETTER TE WITH DESCENDER
U+04AD,ҭ,CYRILLIC SMALL LETTER TE WITH DESCENDER
U+04AE,Ү,CYRILLIC CAPITAL LETTER STRAIGHT U
U+04AF,ү,CYRILLIC SMALL LETTER STRAIGHT U
U+04B0,Ұ,CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE
U+04B1,ұ,CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
U+04B2,Ҳ,CYRILLIC CAPITAL LETTER HA WITH DESCENDER
U+04B3,ҳ,CYRILLIC SMALL LETTER HA WITH DESCENDER
U+04B4,Ҵ,CYRILLIC CAPITAL LIGATURE TE TSE
U+04B5,ҵ,CYRILLIC SMALL LIGATURE TE TSE
U+04B6,Ҷ,CYRILLIC CAPITAL LETTER CHE WITH DESCENDER
U+04B7,ҷ,CYRILLIC SMALL LETTER CHE WITH DESCENDER
U+04B8,Ҹ,CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE
U+04B9,ҹ,CYRILLIC SMALL LETTER CHE WITH VERTICAL STROKE
U+04BA,Һ,CYRILLIC CAPITAL LETTER SHHA
U+04BB,һ,CYRILLIC SMALL LETTER SHHA
U+04BC,Ҽ,CYRILLIC CAPITAL LETTER ABKHASIAN CHE
U+04BD,ҽ,CYRILLIC SMALL LETTER ABKHASIAN CHE
U+04BE,Ҿ,CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER
U+04BF,ҿ,CYRILLIC SMALL LETTER ABKHASIAN CHE WITH DESCENDER
U+04C0,Ӏ,CYRILLIC LETTER PALOCHKA
U+04C1,Ӂ,CYRILLIC CAPITAL LETTER ZHE WITH BREVE
U+04C2,ӂ,CYRILLIC SMALL LETTER ZHE WITH BREVE
U+04C3,Ӄ,CYRILLIC CAPITAL LETTER KA WITH HOOK
U+04C4,ӄ,CYRILLIC SMALL LETTER KA WITH HOOK
U+04C5,Ӆ,CYRILLIC CAPITAL LETTER EL WITH TAIL
U+04C6,ӆ,CYRILLIC SMALL LETTER EL WITH TAIL
U+04C7,Ӈ,CYRILLIC CAPITAL LETTER EN WITH HOOK
U+04C8,ӈ,CYRILLIC SMALL LETTER EN WITH HOOK
U+04C9,Ӊ,CYRILLIC CAPITAL LETTER EN WITH TAIL
U+04CA,ӊ,CYRILLIC SMALL LETTER EN WITH TAIL
U+04CB,Ӌ,CYRILLIC CAPITAL LETTER KHAKASSIAN CHE
U+04CC,ӌ,CYRILLIC SMALL LETTER KHAKASSIAN CHE
U+04CD,Ӎ,CYRILLIC CAPITAL LETTER EM WITH TAIL
U+04CE,ӎ,CYRILLIC SMALL LETTER EM WITH TAIL
U+04CF,ӏ,CYRILLIC SMALL LETTER PALOCHKA
U+04D0,Ӑ,CYRILLIC CAPITAL LETTER A WITH BREVE
U+04D1,ӑ,CYRILLIC SMALL LETTER A WITH BREVE
U+04D2,Ӓ,CYRILLIC CAPITAL LETTER A WITH DIAERESIS
U+04D3,ӓ,CYRILLIC SMALL LETTER A WITH DIAERESIS
U+04D4,Ӕ,CYRILLIC CAPITAL LIGATURE A IE
U+04D5,ӕ,CYRILLIC SMALL LIGATURE A IE
U+04D6,Ӗ,CYRILLIC CAPITAL LETTER IE WITH BREVE
U+04D7,ӗ,CYRILLIC SMALL LETTER IE WITH BREVE
U+04D8,Ә,CYRILLIC CAPITAL LETTER SCHWA
U+04D9,ә,CYRILLIC SMALL LETTER SCHWA
U+04DA,Ӛ,CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS
U+04DB,ӛ,CYRILLIC SMALL LETTER SCHWA WITH DIAERESIS
U+04DC,Ӝ,CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS
U+04DD,ӝ,CYRILLIC SMALL LETTER ZHE WITH DIAERESIS
U+04DE,Ӟ,CYRILLIC CAPITAL LETTER ZE WITH DIAERESIS
U+04DF,ӟ,CYRILLIC SMALL LETTER ZE WITH DIAERESIS
U+04E0,Ӡ,CYRILLIC CAPITAL LETTER ABKHASIAN DZE
U+04E1,ӡ,CYRILLIC SMALL LETTER ABKHASIAN DZE
U+04E2,Ӣ,CYRILLIC CAPITAL LETTER I WITH MACRON
U+04E3,ӣ,CYRILLIC SMALL LETTER I WITH MACRON
U+04E4,Ӥ,CYRILLIC CAPITAL LETTER I WITH DIAERESIS
U+04E5,ӥ,CYRILLIC SMALL LETTER I WITH DIAERESIS
U+04E6,Ӧ,CYRILLIC CAPITAL LETTER O WITH DIAERESIS
U+04E7,ӧ,CYRILLIC SMALL LETTER O WITH DIAERESIS
U+04E8,Ө,CYRILLIC CAPITAL LETTER BARRED O
U+04E9,ө,CYRILLIC SMALL LETTER BARRED O
U+04EA,Ӫ,CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS
U+04EB,ӫ,CYRILLIC SMALL LETTER BARRED O WITH DIAERESIS
U+04EC,Ӭ,CYRILLIC CAPITAL LETTER E WITH DIAERESIS
U+04ED,ӭ,CYRILLIC SMALL LETTER E WITH DIAERESIS
U+04EE,Ӯ,CYRILLIC CAPITAL LETTER U WITH MACRON
U+04EF,ӯ,CYRILLIC SMALL LETTER U WITH MACRON
U+04F0,Ӱ,CYRILLIC CAPITAL LETTER U WITH DIAERESIS
U+04F1,ӱ,CYRILLIC SMALL LETTER U WITH DIAERESIS
U+04F2,Ӳ,CYRILLIC CAPITAL LETTER U WITH DOUBLE ACUTE
U+04F3,ӳ,CYRILLIC SMALL LETTER U WITH DOUBLE ACUTE
U+04F4,Ӵ,CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS
U+04F5,ӵ,CYRILLIC SMALL LETTER CHE WITH DIAERESIS
U+04F6,Ӷ,CYRILLIC CAPITAL LETTER GHE WITH DESCENDER
U+04F7,ӷ,CYRILLIC SMALL LETTER GHE WITH DESCENDER
U+04F8,Ӹ,CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS
U+04F9,ӹ,CYRILLIC SMALL LETTER YERU WITH DIAERESIS
U+04FA,Ӻ,CYRILLIC CAPITAL LETTER GHE WITH STROKE AND HOOK
U+04FB,ӻ,CYRILLIC SMALL LETTER GHE WITH STROKE AND HOOK
U+04FC,Ӽ,CYRILLIC CAPITAL LETTER HA WITH HOOK
U+04FD,ӽ,CYRILLIC SMALL LETTER HA WITH HOOK
U+04FE,Ӿ,CYRILLIC CAPITAL LETTER HA WITH STROKE
U+04FF,ӿ,CYRILLIC SMALL LETTER HA WITH STROKE
U+0500,Ԁ,CYRILLIC CAPITAL LETTER KOMI DE
U+0501,ԁ,CYRILLIC SMALL LETTER KOMI DE
U+0502,Ԃ,CYRILLIC CAPITAL LETTER KOMI DJE
U+0503,ԃ,CYRILLIC SMALL LETTER KOMI DJE
U+0504,Ԅ,CYRILLIC CAPITAL LETTER KOMI ZJE
U+0505,ԅ,CYRILLIC SMALL LETTER KOMI ZJE
U+0506,Ԇ,CYRILLIC CAPITAL LETTER KOMI DZJE
U+0507,ԇ,CYRILLIC SMALL LETTER KOMI DZJE
U+0508,Ԉ,CYRILLIC CAPITAL LETTER KOMI LJE
U+0509,ԉ,CYRILLIC SMALL LETTER KOMI LJE
U+050A,Ԋ,CYRILLIC CAPITAL LETTER KOMI NJE
U+050B,ԋ,CYRILLIC SMALL LETTER KOMI NJE
U+050C,Ԍ,CYRILLIC CAPITAL LETTER KOMI SJE
U+050D,ԍ,CYRILLIC SMALL LETTER KOMI SJE
U+050E,Ԏ,CYRILLIC CAPITAL LETTER KOMI TJE
U+050F,ԏ,CYRILLIC SMALL LETTER KOMI TJE
U+0510,Ԑ,CYRILLIC CAPITAL LETTER REVERSED ZE
U+0511,ԑ,CYRILLIC SMALL LETTER REVERSED ZE
U+0512,Ԓ,CYRILLIC CAPITAL LETTER EL WITH HOOK
U+0513,ԓ,CYRILLIC SMALL LETTER EL WITH HOOK
U+0514,Ԕ,CYRILLIC CAPITAL LETTER LHA
U+0515,ԕ,CYRILLIC SMALL LETTER LHA
U+0516,Ԗ,CYRILLIC CAPITAL LETTER RHA
U+0517,ԗ,CYRILLIC SMALL LETTER RHA
U+0518,Ԙ,CYRILLIC CAPITAL LETTER YAE
U+0519,ԙ,CYRILLIC SMALL LETTER YAE
U+051A,Ԛ,CYRILLIC CAPITAL LETTER QA
U+051B,ԛ,CYRILLIC SMALL LETTER QA
U+051C,Ԝ,CYRILLIC CAPITAL LETTER WE
U+051D,ԝ,CYRILLIC SMALL LETTER WE
U+051E,Ԟ,CYRILLIC CAPITAL LETTER ALEUT KA
U+051F,ԟ,CYRILLIC SMALL LETTER ALEUT KA
U+0520,Ԡ,CYRILLIC CAPITAL LETTER EL WITH MIDDLE HOOK
U+0521,ԡ,CYRILLIC SMALL LETTER EL WITH MIDDLE HOOK
U+0522,Ԣ,CYRILLIC CAPITAL LETTER EN WITH MIDDLE HOOK
U+0523,ԣ,CYRILLIC SMALL LETTER EN WITH MIDDLE HOOK
U+0524,Ԥ,CYRILLIC CAPITAL LETTER PE WITH DESCENDER
U+0525,ԥ,CYRILLIC SMALL LETTER PE WITH DESCENDER
U+0526,Ԧ,CYRILLIC CAPITAL LETTER SHHA WITH DESCENDER
U+0527,ԧ,CYRILLIC SMALL LETTER SHHA WITH DESCENDER
U+0528,Ԩ,CYRILLIC CAPITAL LETTER EN WITH LEFT HOOK
U+0529,ԩ,CYRILLIC SMALL LETTER EN WITH LEFT HOOK
U+052A,Ԫ,CYRILLIC CAPITAL LETTER DZZHE
U+052B,ԫ,CYRILLIC SMALL LETTER DZZHE
U+052C,Ԭ,CYRILLIC CAPITAL LETTER DCHE
U+052D,ԭ,CYRILLIC SMALL LETTER DCHE
U+052E,Ԯ,CYRILLIC CAPITAL LETTER EL WITH DESCENDER
U+052F,ԯ,CYRILLIC SMALL LETTER EL WITH DESCENDER
U+0531,Ա,ARMENIAN CAPITAL LETTER AYB
U+0532,Բ,ARMENIAN CAPITAL LETTER BEN
U+0533,Գ,ARMENIAN CAPITAL LETTER GIM
U+0534,Դ,ARMENIAN CAPITAL LETTER DA
U+0535,Ե,ARMENIAN CAPITAL LETTER ECH
U+0536,Զ,ARMENIAN CAPITAL LETTER ZA
U+0537,Է,ARMENIAN CAPITAL LETTER EH
U+0538,Ը,ARMENIAN CAPITAL LETTER ET
U+0539,Թ,ARMENIAN CAPITAL LETTER TO
U+053A,Ժ,ARMENIAN CAPITAL LETTER ZHE
U+053B,Ի,ARMENIAN CAPITAL LETTER INI
U+053C,Լ,ARMENIAN CAPITAL LETTER LIWN
U+053D,Խ,ARMENIAN CAPITAL LETTER XEH
U+053E,Ծ,ARMENIAN CAPITAL LETTER CA
U+053F,Կ,ARMENIAN CAPITAL LETTER KEN
U+0540,Հ,ARMENIAN CAPITAL LETTER HO
U+0541,Ձ,ARMENIAN CAPITAL LETTER JA
U+0542,Ղ,ARMENIAN CAPITAL LETTER GHAD
U+0543,Ճ,ARMENIAN CAPITAL LETTER CHEH
U+0544,Մ,ARMENIAN CAPITAL LETTER MEN
U+0545,Յ,ARMENIAN CAPITAL LETTER YI
U+0546,Ն,ARMENIAN CAPITAL LETTER NOW
U+0547,Շ,ARMENIAN CAPITAL LETTER SHA
U+0548,Ո,ARMENIAN CAPITAL LETTER VO
U+0549,Չ,ARMENIAN CAPITAL LETTER CHA
U+054A,Պ,ARMENIAN CAPITAL LETTER PEH
U+054B,Ջ,ARMENIAN CAPITAL LETTER JHEH
U+054C,Ռ,ARMENIAN CAPITAL LETTER RA
U+054D,Ս,ARMENIAN CAPITAL LETTER SEH
U+054E,Վ,ARMENIAN CAPITAL LETTER VEW
U+054F,Տ,ARMENIAN CAPITAL LETTER TIWN
U+0550,Ր,ARMENIAN CAPITAL LETTER REH
U+0551,Ց,ARMENIAN CAPITAL LETTER CO
U+0552,Ւ,ARMENIAN CAPITAL LETTER YIWN
U+0553,Փ,ARMENIAN CAPITAL LETTER PIWR
U+0554,Ք,ARMENIAN CAPITAL LETTER KEH
U+0555,Օ,ARMENIAN CAPITAL LETTER OH
U+0556,Ֆ,ARMENIAN CAPITAL LETTER FEH
U+0559,ՙ,ARMENIAN MODIFIER LETTER LEFT HALF RING
U+055A,՚,ARMENIAN APOSTROPHE
U+055B,՛,ARMENIAN EMPHASIS MARK
U+055C,՜,ARMENIAN EXCLAMATION MARK
U+055D,՝,ARMENIAN COMMA
U+055E,՞,ARMENIAN QUESTION MARK
U+055F,՟,ARMENIAN ABBREVIATION MARK
U+0561,ա,ARMENIAN SMALL LETTER AYB
U+0562,բ,ARMENIAN SMALL LETTER BEN
U+0563,գ,ARMENIAN SMALL LETTER GIM
U+0564,դ,ARMENIAN SMALL LETTER DA
U+0565,ե,ARMENIAN SMALL LETTER ECH
U+0566,զ,ARMENIAN SMALL LETTER ZA
U+0567,է,ARMENIAN SMALL LETTER EH
U+0568,ը,ARMENIAN SMALL LETTER ET
U+0569,թ,ARMENIAN SMALL LETTER TO
U+056A,ժ,ARMENIAN SMALL LETTER ZHE
U+056B,ի,ARMENIAN SMALL LETTER INI
U+056C,լ,ARMENIAN SMALL LETTER LIWN
U+056D,խ,ARMENIAN SMALL LETTER XEH
U+056E,ծ,ARMENIAN SMALL LETTER CA
U+056F,կ,ARMENIAN SMALL LETTER KEN
U+0570,հ,ARMENIAN SMALL LETTER HO
U+0571,ձ,ARMENIAN SMALL LETTER JA
U+0572,ղ,ARMENIAN SMALL LETTER GHAD
U+0573,ճ,ARMENIAN SMALL LETTER CHEH
U+0574,մ,ARMENIAN SMALL LETTER MEN
U+0575,յ,ARMENIAN SMALL LETTER YI
U+0576,ն,ARMENIAN SMALL LETTER NOW
U+0577,շ,ARMENIAN SMALL LETTER SHA
U+0578,ո,ARMENIAN SMALL LETTER VO
U+0579,չ,ARMENIAN SMALL LETTER CHA
U+057A,պ,ARMENIAN SMALL LETTER PEH
U+057B,ջ,ARMENIAN SMALL LETTER JHEH
U+057C,ռ,ARMENIAN SMALL LETTER RA
U+057D,ս,ARMENIAN SMALL LETTER SEH
U+057E,վ,ARMENIAN SMALL LETTER VEW
U+057F,տ,ARMENIAN SMALL LETTER TIWN
U+0580,ր,ARMENIAN SMALL LETTER REH
U+0581,ց,ARMENIAN SMALL LETTER CO
U+0582,ւ,ARMENIAN SMALL LETTER YIWN
U+0583,փ,ARMENIAN SMALL LETTER PIWR
U+0584,ք,ARMENIAN SMALL LETTER KEH
U+0585,օ,ARMENIAN SMALL LETTER OH
U+0586,ֆ,ARMENIAN SMALL LETTER FEH
U+0587,և,ARMENIAN SMALL LIGATURE ECH YIWN
U+0589,։,ARMENIAN FULL STOP
U+058A,֊,ARMENIAN HYPHEN
U+058D,֍,RIGHT-FACING ARMENIAN ETERNITY SIGN
U+058E,֎,LEFT-FACING ARMENIAN ETERNITY SIGN
U+058F,֏,ARMENIAN DRAM SIGN
U+0E3F,฿,THAI CURRENCY SYMBOL BAHT
U+1D00,ᴀ,LATIN LETTER SMALL CAPITAL A
U+1D01,ᴁ,LATIN LETTER SMALL CAPITAL AE
U+1D02,ᴂ,LATIN SMALL LETTER TURNED AE
U+1D03,ᴃ,LATIN LETTER SMALL CAPITAL BARRED B
U+1D04,ᴄ,LATIN LETTER SMALL CAPITAL C
U+1D05,ᴅ,LATIN LETTER SMALL CAPITAL D
U+1D06,ᴆ,LATIN LETTER SMALL CAPITAL ETH
U+1D07,ᴇ,LATIN LETTER SMALL CAPITAL E
U+1D08,ᴈ,LATIN SMALL LETTER TURNED OPEN E
U+1D09,ᴉ,LATIN SMALL LETTER TURNED I
U+1D0A,ᴊ,LATIN LETTER SMALL CAPITAL J
